,N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
30,3,10,10,100,100,100,38022667.0,19278559.0,1.97227744044563,0.657425813481876,57835677.0,cpp
31,4,10,10,100,100,100,38022667.0,16553987.0,2.29688877972418,0.574222194931046,66215948.0,cpp
32,1,100,10,10,10,10,54862.0,54862.0,1.0,1.0,54862.0,cpp
33,2,100,10,10,10,10,54862.0,45185.0,1.21416399247538,0.607081996237689,90370.0,cpp
34,3,100,10,10,10,10,54862.0,45886.0,1.19561522032864,0.398538406776214,137658.0,cpp
35,4,100,10,10,10,10,54862.0,46509.0,1.17959964738008,0.294899911845019,186036.0,cpp
36,1,100,10,10,10,100,509184.0,509184.0,1.0,1.0,509184.0,cpp
37,2,100,10,10,10,100,509184.0,527757.0,0.964807667165002,0.482403833582501,1055514.0,cpp
38,3,100,10,10,10,100,509184.0,461564.0,1.10317095787366,0.367723652624555,1384692.0,cpp
39,4,100,10,10,10,100,509184.0,473740.0,1.07481741039389,0.268704352598472,1894960.0,cpp
40,1,100,10,100,10,10,487451.0,487451.0,1.0,1.0,487451.0,cpp
41,2,100,10,100,10,10,487451.0,354577.0,1.37473947830796,0.687369739153978,709154.0,cpp
42,3,100,10,100,10,10,487451.0,291992.0,1.66939847667059,0.556466158890198,875976.0,cpp
43,4,100,10,100,10,10,487451.0,252681.0,1.9291161583182,0.482279039579549,1010724.0,cpp
44,1,100,10,100,10,100,4480414.0,4480414.0,1.0,1.0,4480414.0,cpp
45,2,100,10,100,10,100,4480414.0,3134652.0,1.42931783177208,0.714658915886038,6269304.0,cpp
46,3,100,10,100,10,100,4480414.0,2871726.0,1.56018157721175,0.520060525737251,8615178.0,cpp
47,4,100,10,100,10,100,4480414.0,2417221.0,1.85353925023819,0.463384812559547,9668884.0,cpp
48,1,100,10,10,100,10,475357.0,475357.0,1.0,1.0,475357.0,cpp
49,2,100,10,10,100,10,475357.0,347071.0,1.36962465893146,0.684812329465729,694142.0,cpp
50,3,100,10,10,100,10,475357.0,285363.0,1.66579759814692,0.555265866048974,856089.0,cpp
51,4,100,10,10,100,10,475357.0,239435.0,1.98532795957149,0.496331989892873,957740.0,cpp
52,1,100,10,10,100,100,4469502.0,4469502.0,1.0,1.0,4469502.0,cpp
53,2,100,10,10,100,100,4469502.0,3029921.0,1.47512162858372,0.737560814291858,6059842.0,cpp
54,3,100,10,10,100,100,4469502.0,2763686.0,1.61722496694632,0.539074988982106,8291058.0,cpp
55,4,100,10,10,100,100,4469502.0,2310207.0,1.93467598358069,0.483668995895173,9240828.0,cpp
56,1,100,10,100,100,10,4347790.0,4347790.0,1.0,1.0,4347790.0,cpp
57,2,100,10,100,100,10,4347790.0,2837842.0,1.53207613390738,0.766038066953692,5675684.0,cpp
58,3,100,10,100,100,10,4347790.0,2330344.0,1.86572883660095,0.621909612200316,6991032.0,cpp
